	Blissymbolics, world writing
	Blissymbolic symbol, semantographic symbol
	!, speciality, specialities, It is, It's
	question, Have, Will, Do, Is, What, Are, what
	Are, Will, Have
	percentage
	not, opposite
	number
	repeating (from above), which
	:, that
	a, an
	that, those
	the
	this, these
	but
	if
	then
	person, individual, I
	people, we
1	I, myself, me, mine
2	you
3	he, she
3	she
1	we
2	you, youse
3	they
1	mine, my
1	our
2	yours, your
3	his, their
	whom
	whose
	anyone, anybody
	male, man, gentleman
	men, gentlemen
	the man
	to man
	manly
1	I, myself, me, mine
2	you
3	he, him
3	they
	man's
1	mine, my
2	yours
3	his
3	theirs
	of man
	who, whom
	whose
	corpse
1	solo man
2	duo
3	trio
	group, board, committee, society, company, crowd, crew
	passenger
,	adolescent
	age (of man)
	neighbour
	anyone, anybody
	body part, body division
	female, woman, lady
	womanly
	women, ladies
1	I, myself, me, mine
2	you
3	she, her
3	they
	corpse
1	solo woman
2	duo
3	trio
	woman's
1	mine, my
2	yours
3	hers
3	theirs
	of woman
	who, whom
	whose
	group
,	adolescent
	age (of woman)
	neighbour
	anyone, anybody
	it
	its (plural)
	its
	theirs
	men, people, folks
	couple, people, folks
	group
	people (BPB)
	citizen
	citizens
	citizen of state, citizen, nationality
	group of citizens
	nation, people
	nation, very many people
	nation
	flag
	state, country, territory
	territory, state
	territories
	state
	province, countryside
	to lead, to govern, to guide
	governing
	governs, to govern
	is governed, to be governed
	manager
	to govern state, to govern
	governor
	government
	the government (rulers of people)
	the government (people's servants)
1.	Prime Minister
1.	president, king
1.	president, queen
1.	his Majesty
1.	her Majesty
	Minister
	foreign country
	foreign country
	foreigner
	home country
	frontier, state boundary
	elector, voter
	electee, deputy, politician
	consul (in general)
	British Consul
	US Consul, USA Consul, American Consul
	Australian Consul
	New Zealand Consul
	international
	father
	the father
	to father
	fatherly
	mother
	the mother
	to mother
	motherly
	birth
	birth certificate
	married couple
	married couple
	married couple
	parents
	parents
	parents
	husband
	husbands
	wife
	wives
,	bride groom
,	bride
,	fiancee, boyfriend
	lover
,	girlfriend
	lover
	son
	daughter
2	brother
2	sister
	marriage
	married
	will marry
	to marry
,	engagement
	wedding day, wedding
,	widower
,	widow
	divorcee
	divorcee
	divorcee
	divorcee
	orphan
	orphan
	grandfather
	grandfather
	grandmother
	grandmother
	grandson, grand children
	granddaughter
	grandson
	granddaughter
2	uncle
2	uncle
2	aunty, aunt, auntie
2	aunty, aunt, auntie
2	niece
2	niece
2	nephew
2	nephew
	mother-in-law
	mother-in-law
	father-in-law
	father-in-law
2	brother-in-law
2	brother-in-law
2	sister-in-law
2	sister-in-law
	family
	family relation, relation
	related
	relative, male relative
	relative, female relative
	male
	female
	ring
	life, existence, exists, lives
	to live, to be, to exist
	living, being, living thing
	lively
	death
	to die
	to kill, to make dead, kills, killer
	killing, killed
	mortal
	dead
	death certificate
	lifeless, dead
	become lifeless, dieing
	blood
	to be, to exist (in-animated), is
	thing
	will stay, to stay, will be
	to be (in mind), there is, is
	to be
	were, was
	will be
	may be, might be
	may be, might be
	may be, might be
	may be, might be
	is not
	is not, does not
	occurrence
	real
	part (+), partition, divorce
	yes!
	no!
	yes
	no, don't, do not, will not, shall not, not
	not, under no circumstances
	sun, circle
	the sun
	to sun (verb), to shine, sunning, shining
	sunny
	sunrise
	morning
	afternoon
	sunset
	day
	days
	noon
	Monday
	Tuesday
	Wednesday
	Thursday
	Friday
	Saturday
	Sunday
	week
	weekday
	weekend
	fortnight
2	day before yesterday
	yesterday
	today
	tomorrow
